Author,EndDate,Site,StartDate,Text,Title
,12082016,Reuters,12012016,"(Reuters) - Exxon Mobil has pulled out of half of the six exploration blocks it operated in the Kurdistan region, the Iraq Oil Report reported. The oil company has walked away from its operations in the Qara Hanjeer, Arbat East, and Betwata blocks, the magazine reported, citing Kurdistan's Minister of Natural Resources Ashti Hawrami and Exxon spokeswoman Lauren Kerr. bit.ly/2h1FYWo “Some companies didn’t meet contractual deadlines and according to the contract had to relinquish their areas,” the minister was quoted as saying. Chevron, the second-largest U.S. oil company after Exxon Mobil, relinquished its interest in the Rovi block north of Erbil at the end of 2015 but continued to test wells in the Sarta area. Since 2014, international oil companies have renounced a total of 19 exploration blocks in Kurdistan, according to an analysis by the Iraq Oil Report. In August, Iraqi state oil firm SOMO blacklisted three tankers involved in shipping crude from Kurdistan, swelling the dispute over oil revenue-sharing between Baghdad and the Kurdistan regional government. ","
                Exxon pulls out of three exploration blocks in Kurdistan: Iraq Oil Report | Reuters"
,12082016,Reuters,12012016,"MEXICO CITY (Reuters) - Mexico awarded a consortium comprised by Total and ExxonMobil the second block tendered from the Gulf of Mexico’s Perdido Fold Belt off the U.S.-Mexico maritime border in a historic deep water oil and gas auction on Monday. Block 2 is a 1,149 square mile (2,976.6 square km) block which the energy ministry says contains some 1.440 billion barrels of oil equivalent (boe) in light and extra light crude as well as natural gas. ","
                Mexico says Total, ExxonMobil win block in deep water oil auction | Reuters"
 ,12082016,CNBC,12012016,"A look at 50 private companies set to reshape the business landscape. Frontline insights and unique views on key issues and challenges facing today’s CFOs. Unlock the keys to building a successful long-term financial plan: manage your money, grow your money, and protect it. Kensho stat of the day. November tends to be a strong month for stocks. the top performing sectors are Consumer Discretionary, healthcare and industrials. Amazon has tumbled about 13% in the past week. After similar double-digit losses, the trend tends to reverse, with the stock outperforming two weeks later. Shares of Verizon,  Exxon Mobil and Procter & Gamble have historically performed the best among Dow members when the stock market in a correction. ",Kensho Clean Energy Index
 ,12082016,CNBC,12012016,,https://webcache.googleusercontent.com/search?q=cache:CbUruGnhk1UJ:https://www.cnbc.com/kensho-clean-energy-index/+&cd=1&hl=en&ct=clnk&gl=us
"Benjamin Ra, Ra",12082016,Fool,12012016,"Founded in 1993 by brothers Tom and David Gardner, The Motley Fool helps millions of people attain financial freedom through our website, podcasts, books, newspaper column, radio show, and premium investing services. Source: Getty Images. If you could go back to the pre-industrial days of the 18th century, you'd see many things made of wood and stone and metal but nothing made of plastic. Today you can't get away from plastic if you tried. So, if you're thinking about investing in materials, why not invest in one with a history of growth and a stellar outlook? Plastic has conquered the world so thoroughly that it's difficult to actually define the plastic industry, as it has considerable overlap with the chemicals, energy, packaging, and consumer goods sectors. So let's consider only businesses that sell plastic to other businesses and exclude companies that use tons of plastic but are really in the consumer-goods sector. Here's a list of the largest publicly traded plastics manufacturers: Source: Yahoo Finance. The dirty secret behind plastic is that it's derived from fossil fuels. Natural-gas liquids such as ethane, for instance, are ""cracked"" to bring out olefins such as ethylene, which are then polymerized with other stuff to produce the many, almost infinite, varieties of plastic. If you haven't heard, there's been a ""shale revolution"" going on, and the world is awash in natural gas. The results are reverberating throughout the entire plastic production chain. Ethylene is now cheaper to make (cheaper energy costs, cheaper feedstock), and the past few years have seen a significant expansion in the production of both ethylene and polyethylene. Who gains from all this? Basically, the companies with pricing power -- the users of plastic. The less commoditized you are, the better off you'll be. A company like Lego or Hasbro will source plastic at a much better price without having to lower the retail price of its toys. For olefin producers such as LyondellBasell (NYSE:LYB) and Dow Chemical, it's a different story. A big part of their businesses are commoditized, and they're feeling the pressure to restructure. The Dow/DuPont merger should be seen in this light, as an attempt to carve out the higher margin segments from the rest of the business. LyondellBasell is present along the entire plastic production chain, from the refining of fossil fuels to the ""cracking"" of natural gas liquids and, of course, the actual fabrication of plastics. It's also the largest producer of ethylene in the United States; production of olefins (mainly ethylene and propylene) and polyolefins accounts for about 57% of its revenue. This is a volatile business that's exposed to a variety of prices -- not only crude oil and natural gas, but also ethane, naphtha, and, of course, ethylene and propylene. Revenue was down a whopping 28% last year. It's important to keep in mind, however, that virtually all of the dip was due to a drop in price and that volume was slightly up. The price of ethylene alone fell by 34% in the U.S. and propylene by 45%. But the cost of production also fell, so much so that earnings posted a record high. This kind of thing is not strange for a business like LyondellBasell, and that's why gross profit or EBITDA is a better measure of performance than revenue. LyondellBasell has a good balance sheet, with a net debt-to-EBITDA ratio of 0.9, but it's a recent Chapter 11 ""graduate"", and a watchful eye should be kept on its debt levels. At the moment, it's selling for about 7 times last year's earnings. That's cheap historically, but what makes the company really interesting is that it's a voracious buyer of its own stock. Since the end of 2013, it's reduced about a quarter of its share count. Part of the purchase has been financed with debt, but most of it has come from free cash flow. The risk with an investment like this is collapsing margins -- either a rise in feedstock prices, which can't be passed on to customers, or a fall in olefin and polyolefin prices without a corresponding fall in feedstock. The main feedstock for most U.S.-based ethylene producers is ethane, and there are some murmurings of a spike in ethane prices. It's also true that ethylene capacity will most likely expand over the coming years, all of which points to a worrying compression of margins. But all of this may be priced in, and long-term prospects may be sound, especially with the manageable debt and the extra juice from share buybacks. Going upstream to a company that's more a user of plastic than a producer of it is like taking a breath of fresh air -- the businesses are simpler, less volatile, and just better. AptarGroup (NYSE:ATR) is basically a packaging company. The fine-mist maker on your cologne bottle, pre-filled syringe components, and dispensing closures are some of its main products. Unlike LyondellBasell and its compatriots, AptarGroup is very steady in its earning power. In fact, I couldn't find the last time it's suffered a net loss. Its history is one of steady margins, moderate growth, strong free cash flow, and increasing dividends. It's a prime example of a rather boring business that happens to make good money. Aptar's margins have improved steadily over the past few years, helped by cheaper raw-material prices, and this trend may very well continue over the near future. But Aptar isn't cheap. At current prices, it's valued at about 24 times last year's earnings. Unless you think Aptar is due for some stellar growth, I would recommend you wait for a cheaper price. Of the two businesses we've mentioned -- LyondellBasell and AptarGroup -- the latter is the superior business, the former the superior investment. If I were forced to choose one over the other, my choice would have to be LyondellBasell. Quality of business is important enough to trump price on many an occasion, but in this instance, my feeling is that Aptar's superiority as a business isn't enough to wash away its price tag. And LyondellBasell, despite its near-term troubles, is still in a sound business -- one that's here to stay. After all, what can replace plastic? What else can you shape and mold in such variety, with such ease, and at such a price? ","
      
    The Best Plastic Stocks to Buy Today -- The Motley Fool

  "
,12152016,Reuters,12082016,"The all-stock deal, valued at more than $2.5 billion when it was made public in July, will give Exxon access to a gas field to expand exports from Papua New Guinea and better position it to meet Asian demand for liquefied natural gas. The changes to the additional cash payment represent an increase in total potential consideration to about $78.94 per InterOil share from about $71.87 earlier, InterOil said in a statement. The payment is worth $7.07 per share for each trillion cubic feet equivalent (tcfe) of certified gross resource from the Elk-Antelope field above 6.2 tcfe and up to a maximum of 11 tcfe, up from the earlier cap of 10 tcfe. InterOil also said the termination fee has been increased to $100 million from $67 million, and extended the outside date of the transaction to March 31, 2017. ","
                InterOil says raises cap on additional cash payment in Exxon deal | Reuters"
Elizabeth Gurdus,12152016,CNBC,12082016,"The U.S. has a pressing need to bolster its weak cybersecurity in the face of huge breaches like Russia's suspected sabotage of the election system and Yahoo's billion-user hack, Ret. Adm. James Stavridis told CNBC on Thursday. ""It is the greatest mismatch between the level of threat, very high, and the level of preparation, quite low,"" the former NATO Supreme Allied Commander told ""Squawk Box."" ""We're headed toward a cyber Pearl Harbor, and it is going to come at either the grid or the financial sector,"" he said, echoing a term used by then Defense Secretary Leon Panetta in 2012. The two nations that pose the biggest threats to the United States are Russia and China, Stavridis said, followed by North Korea and Iran. While he sees Russia and China as most dangerous, the United States should be vigilant with regards to all potential actors, he said. Stavridis brought up North Korea's response to the 2014 film ""The Interview,"" a satire about an assassination plot against North Korean leader Kim Jong Un. ""They lashed out with a cyberattack against Sony Pictures, an American corporation, did tens of millions of dollars of kinetic damage to Sony as well as a great deal of reputational damage,"" he said. ""So it's not just big nations coming at big nations, it's also small nations going at big nations."" But the big nations could conceivably come to a solution, said Stavridis. He proposed that future administrations create a position titled director of national intelligence and cybersecurity. ""That idea of interagency cooperation is key to protecting us in the cyber realm,"" he said. Stavridis, dean of the Fletcher School of Law and Diplomacy at Tufts University, had been rumored as a possible candidate for secretary of State in the Trump administration. He said he was pleased with President-elect Donald Trump's choice for the position, citing Exxon Mobil CEO Rex Tillerson's business relations abroad and noting the importance of cultivating a ""more transactional relationship"" with Russia.  ","We're headed at a 'cyber Pearl Harbor,' says Adm James Stavridis"
John Harwood,12152016,CNBC,12082016,"Donald Trump liked to say this fall that Hillary Clinton had only ""bad experience"" in government. Soon, Americans will start learning how that compares to virtually none. By tapping Exxon Mobil Chief Executive Rex Tillerson for secretary of State, the president-elect has moved to fill the six top jobs in his administration. The team he assembled has less government experience than any in recent presidential history — by far. For the White House, Trump has picked Republican National Committee Chairman Reince Priebus as chief of staff and Ret. Gen. Michael Flynn as national security adviser. To stock his Cabinet, he picked finance executive Steven Mnuchin for the Treasury Department, Ret. Gen. James Mattis for the Pentagon and Tillerson for State. Like Trump, all lack any experience in civilian government service. The only top choices who do are Sen. Jeff Sessions, Trump's pick for attorney general, and Rick Perry, the former Texas governor who was selected for Energy secretary on Wednesday. That's far different from the initial teams selected by any of the last five presidents. Every one of the top six appointees by Presidents Barack Obama, George W. Bush, and George H.W. Bush boasted previous government service. In Bill Clinton's White House, only his first chief of staff, Mack McLarty, an Arkansas energy executive, had not worked in government before; in Ronald Reagan's, only Treasury Secretary Donald Regan, who had run Merrill Lynch, had never worked in government. Moreover, Reagan, Clinton and the younger Bush had all spent years as governors of their states. The elder Bush had served in Congress, run the CIA and been U.S. envoy to China. In some ways, the absence of government experience by Trump and much of his team fits the public mood. On Election Day, two-thirds of voters told exit pollsters they feel either dissatisfied or angry at the federal government. More than experience or judgment, they identified ability to ""bring change"" as the most important quality in the next president. During the campaign, Trump bluntly attacked the competence of recent presidents and their staffs. The billionaire real estate tycoon promised to improve on government's performance after three decades of stagnated middle-class incomes and persistent national security woes. Now Trump's task is making the gears of a complex federal apparatus turn in ways that convert his rhetoric — on issues from cutting government waste to overhauling the tax system to implementing a new strategy against ISIS — into the changes voters want. ""The problem is simply enormous,"" said Donald Kettl, a professor at the University of Maryland's School of Public Policy. The need to manage public opinion, reach accommodations with Congress and navigate the federal bureaucracy presents challenges unlike those that corporate executives or military commanders have to grapple with. The absence of government experience doesn't mean a Cabinet secretary can't be effective. Kettl cited the strides made by former auto executive Robert McNamara in overhauling management of the Pentagon after President John F. Kennedy made him Defense secretary in the 1960s. But Kettl added that it increases the importance of selecting deputies who know enough to follow through and implement new policy commitments. The issue extends well beyond the top echelons of the new administration. Trump is sending Ben Carson, a retired neurosurgeon, to the Department of Housing and Urban Development with no experience in housing policy. Restaurant executive Andrew Puzder, his choice for Labor secretary, and philanthropist Betsy DeVos, his would-be Education secretary, haven't served in government. Nor has wrestling executive Linda McMahon, who's headed for the Small Business Administration. ",Running the government with no government experience: Another first for team Trump
Elizabeth Gurdus,12152016,CNBC,12082016,"With oil and gas becoming top priorities for economic growth in the incoming administration and the recent agreement among OPEC and non-OPEC member countries to cut production, oil and gas prices will rise, Hess CEO John Hess told CNBC on Wednesday. ""You clearly have to have a new chapter of rising oil prices to attract investment, to grow supply, to keep up with growing demand,"" Hess told ""Squawk Box."" ""I think we're now in an upward trajectory of prices."" In a capital-intensive business such as the oil and gas industry, attracting investment is key, and the OPEC deal will help because it will end the supply glut that has deflated prices, he said. ""At the end of the day, what's most important for oil and gas supply? The price,"" Hess said. ""We have to have the price signal to make sure we have enough supply to be affordable, that it's going to keep price stability, and it's also going to have supply security."" Hess said that for supply and demand to strike a good balance, oil prices need to trade in a range of $60 to $80. West Texas Intermediate (WTI) and Brent crude were down about 1.5 percent  Wednesday. Hess cheered Trump's tap for secretary of State, Exxon Mobil  chief Rex Tillerson, calling him an ""outstanding business leader"" who is well-qualified and ""knowledgeable about foreign affairs."" Regarding concerns about Tillerson's relationship with Russian President Vladimir Putin, Hess said the oil executive ""deals with Putin as a government leader as he would any government leader where he has to do business,"" brushing off rumors that the two are friendly. ""It's clear that the Trump administration puts a high priority on energy, that oil and gas are engines of economic growth going forward,"" Hess said. ",Get ready for 'a new chapter' of rising oil prices: Hess CEO
Selena Maranjian,12152016,Fool,12082016,"Founded in 1993 by brothers Tom and David Gardner, The Motley Fool helps millions of people attain financial freedom through our website, podcasts, books, newspaper column, radio show, and premium investing services. If you're wondering, ""What is dividend income?"" then here's the short answer: Dividend income is an unexpectedly powerful way to secure a comfortable retirement. Once you read the case for dividends and learn the difference between ordinary and qualified dividends, as well as the tax rates for income from dividends, the next question you'll be asking is ""Which stocks pay dividends?"" Image source: Getty Images. A dividend is a portion of a company's earnings that's paid out to shareholders, typically on a quarterly basis, though some are paid annually, monthly, or even irregularly. When a company earns a profit, it can do many things with that money. It might pay down debt, buy back shares, build new facilities, hire more workers, buy more advertising, acquire another company, and so on. Paying a dividend is just one of many options. Some companies pay dividends to their shareholders, and some do not. Most often, relatively young and fast-growing companies won't pay dividends, because their best use for excess cash is expanding their business. (That's a way to reward shareholders, too -- making the company more successful and therefore more valuable.) When companies grow larger and have more reliable earnings, then they may choose to pay a dividend. If they fall on hard times, that payout might get reduced or eliminated, but that's generally a last resort. Image source: Getty Images. Dividends are often thought of as investments for retirees -- stable but slow-moving. However, the historical returns of dividend stocks are far from dull. Get this: According to Ned Davis Research, from 1972 through early 2016, dividend stocks averaged an annual gain of 8.8% versus just 2.2% for non-dividend payers. Indeed, from 1930 through 2014, dividends have accounted for about 40% of the 10.3% average annual return of the S&P 500. See? Not so boring after all, are they? Image source: Getty Images. A 3% or 4% dividend yield may not sound that impressive, but if that's the average overall yield you're getting on a $300,000 retirement portfolio, then you're looking at $9,000 to $12,000 in annual income. Dividends can be tax-friendly, too. In the eyes of the IRS, dividend income falls into one of two categories: qualified or non-qualified. Much of investors' dividend income is qualified, which means it's subject to a lower tax rate. Qualified dividends are taxed at 0% if you're in the lowest two income tax brackets, 15% if your tax bracket is 25% to 35%, and 20% if you're in the top bracket. Non-qualified dividend income is taxed at your marginal income tax rate. Hundreds of stocks pay dividends, and many of them are household names. Here are just a few examples and their recent dividend yields: Stock Recent dividend yield AT&T 5.1% Ford Motor Company 4.8% Verizon Communications 4.6% Altria Group 3.8% Chevron 3.8% Pfizer 3.8% IBM 3.5% Coca-Cola 3.4% ExxonMobil 3.4% Procter & Gamble 3.2% General Electric 3% Intel 3% Image source: Getty Images. Finally, as you search for great dividend-payers for your portfolio, here are some things to keep in mind: Adding dividend payers to your portfolio can help it grow in the years before you retire and can provide valuable dividend income in retirement. ","
      
    Dividend Income: It's More Powerful Than You Think -- The Motley Fool

  "
